"No.","Time","Source","Destination","Protocol","Length","Info"
"55292","19:36:34.025366","10.107.135.158","180.250.13.34","DNS","74","Standard query 0xff8d HTTPS www.google.com"
"55293","19:36:34.025790","10.107.135.158","180.250.13.34","DNS","76","Standard query 0xc9b4 A www.google.co.id"
"55294","19:36:34.026024","10.107.135.158","180.250.13.34","DNS","76","Standard query 0xa677 HTTPS www.google.co.id"
"55295","19:36:34.028445","180.250.13.34","10.107.135.158","DNS","99","Standard query response 0xff8d HTTPS www.google.com HTTPS"
"55296","19:36:34.028873","180.250.13.34","10.107.135.158","DNS","120","Standard query response 0xbb64 A www.google.com CNAME forcesafesearch.google.com A 216.239.38.120"
"55297","19:36:34.029709","180.250.13.34","10.107.135.158","DNS","132","Standard query response 0xc9b4 A www.google.co.id CNAME forcesafesearch.google.com A 216.239.38.120"
"55298","19:36:34.029709","180.250.13.34","10.107.135.158","DNS","101","Standard query response 0xa677 HTTPS www.google.co.id HTTPS"
"55558","19:36:34.278294","10.107.135.158","180.250.13.34","DNS","80","Standard query 0xb45c A adservice.google.com"
"55580","19:36:34.278648","10.107.135.158","180.250.13.34","DNS","80","Standard query 0x9a32 HTTPS adservice.google.com"
"55581","19:36:34.279418","10.107.135.158","180.250.13.34","DNS","98","Standard query 0x4ace A 6033413.global.siteimproveanalytics.io"
"55582","19:36:34.279662","10.107.135.158","180.250.13.34","DNS","98","Standard query 0xef2b HTTPS 6033413.global.siteimproveanalytics.io"
"55595","19:36:34.287703","180.250.13.34","10.107.135.158","DNS","144","Standard query response 0xb45c A adservice.google.com A 142.250.4.156 A 142.250.4.155 A 142.250.4.154 A 142.250.4.157"
"55596","19:36:34.287703","180.250.13.34","10.107.135.158","DNS","105","Standard query response 0x9a32 HTTPS adservice.google.com HTTPS"
"56453","19:36:34.757833","180.250.13.34","10.107.135.158","DNS","380","Standard query response 0x4ace A 6033413.global.siteimproveanalytics.io CNAME eu-central-1.global.siteimproveanalytics.io CNAME ana-collector-alb-eu-2022-09-08-450671463.eu-central-1.elb.amazonaws.com A 52.58.35.126 A 3.66.97.157 NS ns-1326.awsdns-37.org NS ns-1689.awsdns-19.co.uk NS ns-417.awsdns-52.com NS ns-613.awsdns-12.net"
"56745","19:36:34.921798","10.107.135.158","180.250.13.34","DNS","87","Standard query 0x180e A 117259316.intellimizeio.com"
