,Time,Destination,Info
788,19:36:35.527982,180.250.13.34,intellimize.co
789,19:36:35.528324,180.250.13.34,intellimize.co
790,19:36:35.653769,180.250.13.34,doubleclick.net
791,19:36:35.654134,180.250.13.34,doubleclick.net
796,19:36:35.920767,180.250.13.34,google.com
797,19:36:35.921092,180.250.13.34,google.com
800,19:36:36.856680,180.250.13.34,google.com
801,19:36:36.857292,180.250.13.34,google.com
804,19:36:40.390850,180.250.13.34,windowsupdate.com
806,19:36:40.699270,180.250.13.34,mongodb.net
808,19:36:42.977693,180.250.13.34,msftconnecttest.com
810,19:36:50.688063,180.250.13.34,nel.goog
811,19:36:50.688388,180.250.13.34,nel.goog
812,19:36:50.689173,180.250.13.34,google.com
813,19:36:50.689453,180.250.13.34,google.com
814,19:36:50.690231,180.250.13.34,gvt2.com
815,19:36:50.690571,180.250.13.34,gvt2.com
822,19:36:57.952230,180.250.13.34,mongodb.net
824,19:37:02.046860,180.250.13.34,googletagmanager.com
825,19:37:02.047246,180.250.13.34,googletagmanager.com
828,19:37:02.075753,180.250.13.34,tableau.com
829,19:37:02.076121,180.250.13.34,tableau.com
830,19:37:02.079920,180.250.13.34,linkedin.com
831,19:37:02.080220,180.250.13.34,linkedin.com
836,19:37:04.906457,180.250.13.34,brightcove.net
837,19:37:04.906808,180.250.13.34,brightcove.net
840,19:37:05.295464,180.250.13.34,zencdn.net
841,19:37:05.295875,180.250.13.34,zencdn.net
844,19:37:05.402174,180.250.13.34,brightcove.com
845,19:37:05.402583,180.250.13.34,brightcove.com
846,19:37:05.414070,180.250.13.34,brightcove.com
847,19:37:05.414458,180.250.13.34,brightcove.com
848,19:37:05.416685,180.250.13.34,brightcove.com
849,19:37:05.417754,180.250.13.34,brightcove.com
853,19:37:05.439983,180.250.13.34,googleapis.com
854,19:37:05.440403,180.250.13.34,googleapis.com
857,19:37:05.681130,180.250.13.34,3playmedia.com
858,19:37:05.681441,180.250.13.34,3playmedia.com
859,19:37:05.687923,180.250.13.34,boltdns.net
860,19:37:05.688423,180.250.13.34,boltdns.net
862,19:37:05.705165,180.250.13.34,boltdns.net
863,19:37:05.705557,180.250.13.34,boltdns.net
867,19:37:05.837292,180.250.13.34,googleapis.com
868,19:37:05.837922,180.250.13.34,googleapis.com
870,19:37:05.841566,180.250.13.34,akamaihd.net
871,19:37:05.841773,180.250.13.34,akamaihd.net
878,19:37:06.328140,180.250.13.34,brightcove.com
879,19:37:06.328368,180.250.13.34,brightcove.com
884,19:37:14.559633,180.250.13.34,mongodb.net
886,19:37:34.500549,180.250.13.34,googleapis.com
887,19:37:34.500960,180.250.13.34,googleapis.com
890,19:37:34.519258,180.250.13.34,google.com
891,19:37:34.520667,180.250.13.34,google.com
894,19:37:35.425456,180.250.13.34,tableau.com
895,19:37:35.427306,180.250.13.34,tableau.com
898,19:37:43.033770,180.250.13.34,msftconnecttest.com
900,19:37:45.287634,180.250.13.34,mongodb.net
902,19:37:50.690857,180.250.13.34,gvt2.com
903,19:37:50.691047,180.250.13.34,gvt2.com
904,19:37:50.691411,180.250.13.34,gvt2.com
905,19:37:50.691612,180.250.13.34,gvt2.com
910,19:37:50.761058,180.250.13.34,gvt2.com
911,19:37:50.761699,180.250.13.34,gvt2.com
914,19:37:57.856159,118.98.44.50,google.com
915,19:37:57.856443,118.98.44.50,google.com
918,19:37:58.366011,180.250.13.34,mongodb.net
920,19:38:04.926460,180.250.13.34,googleapis.com
921,19:38:04.927103,180.250.13.34,googleapis.com
924,19:38:17.199746,118.98.44.50,gstatic.com
925,19:38:17.200334,118.98.44.50,gstatic.com
928,19:38:17.389607,118.98.44.50,twitter.com
929,19:38:17.389989,118.98.44.50,twitter.com
930,19:38:17.390542,118.98.44.50,twimg.com
931,19:38:17.391022,118.98.44.50,twimg.com
932,19:38:17.393265,118.98.44.50,twimg.com
933,19:38:17.395214,118.98.44.50,twimg.com
940,19:38:18.331900,118.98.44.50,twitter.com
941,19:38:18.332318,118.98.44.50,twitter.com
942,19:38:18.334119,118.98.44.50,t.co
943,19:38:18.334498,118.98.44.50,t.co
947,19:38:18.397517,118.98.44.50,twimg.com
948,19:38:18.397799,118.98.44.50,twimg.com
952,19:38:21.069338,180.250.13.34,googleapis.com
953,19:38:21.069798,180.250.13.34,googleapis.com
954,19:38:21.071554,180.250.13.34,microsoft.com
958,19:38:22.984212,118.98.44.50,googleapis.com
959,19:38:22.984527,118.98.44.50,googleapis.com
962,19:38:23.232697,118.98.44.50,google-analytics.com
963,19:38:23.232943,118.98.44.50,google-analytics.com
966,19:38:24.041774,118.98.44.50,twimg.com
967,19:38:24.042143,118.98.44.50,twimg.com
970,19:38:24.634873,118.98.44.50,whatsapp.net
971,19:38:24.635286,118.98.44.50,whatsapp.net
974,19:38:24.862610,180.250.13.34,mongodb.net
976,19:38:33.847028,118.98.44.50,google.com
977,19:38:33.847241,118.98.44.50,google.com
980,19:38:43.176594,180.250.13.34,msftconnecttest.com
982,19:38:46.086162,180.250.13.34,mongodb.net
983,19:38:47.088673,118.98.44.50,mongodb.net
986,19:38:50.689794,180.250.13.34,nel.goog
987,19:38:50.690361,180.250.13.34,nel.goog
990,19:38:58.701586,180.250.13.34,gstatic.com
991,19:38:58.701935,180.250.13.34,gstatic.com
994,19:39:03.937107,180.250.13.34,mongodb.net
995,19:39:04.660390,118.98.44.50,mongodb.net
998,19:39:16.427378,118.98.44.50,gvt2.com
999,19:39:16.428483,118.98.44.50,gvt2.com
1002,19:39:26.138999,180.250.13.34,mongodb.net
1003,19:39:26.867336,118.98.44.50,mongodb.net
1006,19:39:31.912133,180.250.13.34,gvt2.com
1007,19:39:31.912688,180.250.13.34,gvt2.com
1010,19:39:43.479088,180.250.13.34,msftconnecttest.com
1012,19:39:47.387232,180.250.13.34,mongodb.net
1014,19:39:50.694915,180.250.13.34,nel.goog
1015,19:39:50.695215,180.250.13.34,nel.goog
1018,19:40:05.143108,180.250.13.34,mongodb.net
1020,19:40:17.714388,118.98.44.50,gvt2.com
1021,19:40:17.714855,118.98.44.50,gvt2.com
1024,19:40:28.026321,180.250.13.34,mongodb.net
